,auc,acc,sen,spe,bac,mcc,cutoff,data
LGBMClassifier,0.8147325584488125,0.765253360910031,0.6335877862595419,0.8554006968641115,0.7444942415618268,0.505818777291982,0.41419762135406,DeepLocAAindex
RandomForestClassifier,0.7819639864882837,0.7435367114788004,0.5954198473282443,0.8449477351916377,0.7201837912599409,0.4585887194833717,0.4248247628677985,DeepLocAAindex
SVMClassifier,0.7505873695596279,0.7280248190279214,0.55470737913486,0.8466898954703833,0.7006986373026216,0.423901738608269,0.423105938009858,DeepLocAAindex
NNClassifier,0.8056892837194457,0.7466390899689762,0.6234096692111959,0.8310104529616724,0.7272100610864342,0.4668278032771843,0.45058906078338623,DeepLocAAindex
LGBMClassifier,0.7943098296849926,0.7466390899689762,0.5826972010178118,0.8588850174216028,0.7207911092197072,0.46472952702742554,0.4527447606356371,DeepLocAutocorr
RandomForestClassifier,0.7149683928682252,0.6690796277145812,0.6030534351145038,0.7142857142857143,0.658669574700109,0.3163701298782407,0.4007631177406551,DeepLocAutocorr
SVMClassifier,0.4578490305077533,0.4653567735263702,0.5623409669211196,0.3989547038327526,0.4806478353769361,-0.03858614259725253,0.40618549391163133,DeepLocAutocorr
NNClassifier,0.7292071175891692,0.6980351602895554,0.5725190839694656,0.7839721254355401,0.6782456047025028,0.3645810535135609,0.4833822250366211,DeepLocAutocorr
