,auc,acc,sen,spe,bac,mcc,cutoff,data
LGBMClassifier,0.817330283444601,0.7549120992761117,0.6055979643765903,0.8571428571428571,0.7313704107597236,0.48301754380088613,0.4290808498734406,DeepLocAAindex
RandomForestClassifier,0.785683254869626,0.749741468459152,0.6005089058524173,0.8519163763066202,0.7262126410795188,0.47187863243229655,0.41984836591700914,DeepLocAAindex
SVMClassifier,0.7527949925082675,0.7228541882109617,0.5597964376590331,0.8344947735191638,0.6971456055890984,0.4132284776614952,0.4131286095081118,DeepLocAAindex
NNClassifier,0.8180927556276654,0.7611168562564633,0.5852417302798982,0.8815331010452961,0.7333874156625972,0.4965219600756845,0.4804650843143463,DeepLocAAindex
LGBMClassifier,0.8021429014726352,0.7528438469493278,0.6793893129770993,0.8031358885017421,0.7412626007394207,0.4852453397931349,0.4101007762112846,DeepLocAutocorr
RandomForestClassifier,0.7217286840262077,0.6907962771458118,0.5267175572519084,0.8031358885017421,0.6649267228768252,0.344307209938882,0.4330090531038053,DeepLocAutocorr
SVMClassifier,0.4274077718966939,0.59358841778697,0.0,1.0,0.5,0.0,0.6740778422113021,DeepLocAutocorr
NNClassifier,0.767443767676499,0.7269906928645294,0.5826972010178118,0.8257839721254355,0.7042405865716237,0.4234634951994416,0.4717535972595215,DeepLocAutocorr
