,auc,acc,sen,spe,bac,mcc,cutoff,data
SVMClassifier,0.7527550957079909,0.7197518097207859,0.6183206106870229,0.789198606271777,0.7037596084794,0.4131340273163896,-0.7646992411637233,DeepLocAAindex
SVMClassifier,0.528078481439122,0.4860392967942089,0.7099236641221374,0.3327526132404181,0.5213381386812778,0.045108650643541706,-0.1877039003886448,DeepLocAutocorr
