,auc,acc,sen,spe,bac,mcc,cutoff,data
LGBMClassifier,0.9786474439275508,0.9349328069243034,0.9281575898030128,0.9373392324313201,0.9327484111171664,0.8392410900369492,0.23293742595311157,DeepPPIAAindex
RandomForestClassifier,0.9214019241974094,0.8611343102270139,0.8560254924681344,0.8629488630517543,0.8594871777599444,0.6748054291856985,0.20871867736680136,DeepPPIAAindex
NNClassifier,0.8983251350194223,0.8206666160504138,0.8276361529548089,0.8181911719312687,0.8229136624430388,0.5950409247115817,0.2535243034362793,DeepPPIAAindex
LGBMClassifier,0.9789025557922703,0.931364361096348,0.9304750869061413,0.9316802140137874,0.9310776504599644,0.8319842523571155,0.2244200314311739,DeepPPIAutocorr
RandomForestClassifier,0.8088210493547718,0.7612178270442639,0.7082850521436849,0.780018520423912,0.7441517862837984,0.4508324205885016,0.27887979883511316,DeepPPIAutocorr
NNClassifier,0.958983249114724,0.8918077594715663,0.9107763615295481,0.8850704805021092,0.8979234210158287,0.7481368776126481,0.2178851068019867,DeepPPIAutocorr
