,auc,acc,sen,spe,bac,mcc,cutoff,data
LGBMClassifier,0.981789829552249,0.9391845721661225,0.9336616454229433,0.9411462084576603,0.9374039269403018,0.849462416059813,0.2188153007538068,DeepPPIBERT
RandomForestClassifier,0.9360803944251783,0.8922633057474755,0.8566048667439166,0.9049284905854512,0.8807666786646839,0.7346076347531395,0.22799717369125821,DeepPPIBERT
NNClassifier,0.9639625206423323,0.9099536861286159,0.9110660486674391,0.9095585965634324,0.9103123226154357,0.7834700779859867,0.24935531616210938,DeepPPIBERT
LGBMClassifier,0.9817142408515913,0.9378938577177132,0.9348203939745076,0.9389854923346024,0.936902943154555,0.8468382004484823,0.21878020739831805,DeepPPIAlbert
RandomForestClassifier,0.8904830606794852,0.8442031736390555,0.7995365005793743,0.8600679082210104,0.8298022044001924,0.6256520096983818,0.26430987782965143,DeepPPIAlbert
NNClassifier,0.9745242233767714,0.9268088983372561,0.9313441483198146,0.9251980656446136,0.928271106982214,0.8225443494616653,0.22600845992565155,DeepPPIAlbert
LGBMClassifier,0.9826388313462288,0.9426770936147597,0.9374275782155272,0.9445416195081798,0.9409845988618535,0.8577675656690578,0.21906766482428494,DeepPPIT5
RandomForestClassifier,0.9329256242953052,0.8875559942297472,0.8484936268829664,0.9014301882909764,0.8749619075869715,0.7230835707413966,0.2063058920537177,DeepPPIT5
NNClassifier,0.9712916886885323,0.9198238554399818,0.9223638470451911,0.9189216997633501,0.9206427734042706,0.8061478185117875,0.24062243103981018,DeepPPIT5
LGBMClassifier,0.9830098896011528,0.9399438159593045,0.9385863267670915,0.9404259697499743,0.939506148258533,0.851949901005498,0.20958528068694107,DeepPPIT5FT
RandomForestClassifier,0.9422715143743121,0.8925670032647484,0.869351100811124,0.9008128408272456,0.8850819708191848,0.7383670111261942,0.20300942250264625,DeepPPIT5FT
NNClassifier,0.9701644006549273,0.9139776782324804,0.9232329084588644,0.910690400246939,0.9169616543529018,0.7944648914722449,0.24365034699440002,DeepPPIT5FT
